subject_id,gallery,media_path
G00003,False,./BTS1/full/G00003/field/400m/face/G00003_set1_stand_1622142290023_5543a64d.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_struct_1622142290012_3a11c47c.mp4
G00003,False,./BTS1/full/G00003/field/200m/wb/G00003_set1_stand_1622142289902_a8d303ba.mp4
G00003,False,./BTS1/full/G00003/field/close_range/wb/G00003_set1_stand_HDZP252DI_004084F3B9C7_23e409b6.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_stand_1622142290012_c8ee13ea.mp4
G00003,False,./BTS1/full/G00003/field/200m/wb/G00003_set1_struct_1622142289902_54454c19.mp4
G00003,False,./BTS1/full/G00003/field/200m/wb/G00003_set1_struct_1622142289902_54454c19.mp4
G00003,False,./BTS1/full/G00003/field/400m/wb/G00003_set1_struct_1622142290034_6075b1bb.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_struct_1622142290012_3a11c47c.mp4
G00003,False,./BTS1/full/G00003/field/500m/face/G00003_set1_stand_1622142290018_f49f94f6.mp4
G00003,False,./BTS1/full/G00003/field/500m/face/G00003_set1_stand_1622142290018_f49f94f6.mp4
G00003,False,./BTS1/full/G00003/field/500m/face/G00003_set1_stand_1622142290018_f49f94f6.mp4
G00003,False,./BTS1/full/G00003/field/200m/face/G00003_set1_stand_1622142289949_3c11e3ee.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_stand_1622142290012_c8ee13ea.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_struct_1622142290012_3a11c47c.mp4
G00003,False,./BTS1/full/G00003/field/400m/wb/G00003_set1_struct_1622142290034_6075b1bb.mp4
G00003,False,./BTS1/full/G00003/field/200m/wb/G00003_set1_stand_1622142289902_a8d303ba.mp4
G00003,False,./BTS1/full/G00003/field/400m/wb/G00003_set1_struct_1622142290034_6075b1bb.mp4
G00003,False,./BTS1/full/G00003/field/500m/wb/G00003_set1_stand_1622142290012_c8ee13ea.mp4
G00003,False,./BTS1/full/G00003/field/200m/face/G00003_set1_stand_1622142289949_3c11e3ee.mp4
G00003,False,./BTS1/full/G00003/field/100m/wb/G00003_set1_rand_Q6215-LE_ACCC8EEAB530_5eec44ff.mp4
G00017,False,./BTS1/full/G00017/field/200m/face/G00017_set1_stand_1622144675962_c619d096.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_stand_1622144675985_8c260e84.mp4
G00017,False,./BTS1/full/G00017/field/400m/wb/G00017_set1_stand_1622144676087_588eda3a.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_struct_1622144675985_a7b60495.mp4
G00017,False,./BTS1/full/G00017/field/200m/wb/G00017_set1_stand_1622144675980_44fe5414.mp4
G00017,False,./BTS1/full/G00017/field/200m/wb/G00017_set1_stand_1622144675980_44fe5414.mp4
G00017,False,./BTS1/full/G00017/field/500m/face/G00017_set1_stand_1622144676078_f470ae53.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_struct_1622144675985_a7b60495.mp4
G00017,False,./BTS1/full/G00017/field/200m/wb/G00017_set1_struct_1622144675980_a6a3d472.mp4
G00017,False,./BTS1/full/G00017/field/200m/face/G00017_set1_stand_1622144675962_c619d096.mp4
G00017,False,./BTS1/full/G00017/field/400m/wb/G00017_set1_struct_1622144676087_7e78f1d7.mp4
G00017,False,./BTS1/full/G00017/field/100m/wb/G00017_set1_struct_DWC-MPTZ336XW_0007D81E134C_114e93ff.mp4
G00017,False,./BTS1/full/G00017/field/200m/wb/G00017_set1_struct_1622144675980_a6a3d472.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_stand_1622144675985_8c260e84.mp4
G00017,False,./BTS1/full/G00017/field/200m/face/G00017_set1_stand_1622144675962_c619d096.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_struct_1622144675985_a7b60495.mp4
G00017,False,./BTS1/full/G00017/field/400m/wb/G00017_set1_struct_1622144676087_7e78f1d7.mp4
G00017,False,./BTS1/full/G00017/field/400m/wb/G00017_set1_struct_1622144676087_7e78f1d7.mp4
G00017,False,./BTS1/full/G00017/field/400m/face/G00017_set1_stand_1622144675985_8c260e84.mp4
G00017,False,./BTS1/full/G00017/field/400m/wb/G00017_set1_rand_1622144676087_67f21399.mp4
